,Unnamed: 0,Suburb,Price,Bedroom2,Bathroom,Car,BuildingArea,price_per_sqm
0,1,Abbotsford,1035000.0,2.0,1.0,0.0,79.0,13101.26582278481
1,2,Abbotsford,1465000.0,3.0,2.0,0.0,150.0,9766.666666666666
2,4,Abbotsford,1600000.0,3.0,1.0,2.0,142.0,11267.605633802817
3,6,Abbotsford,1876000.0,4.0,2.0,0.0,210.0,8933.333333333334
4,7,Abbotsford,1636000.0,2.0,1.0,2.0,107.0,15289.719626168224
5,9,Abbotsford,1097000.0,3.0,1.0,2.0,75.0,14626.666666666666
6,11,Abbotsford,1350000.0,3.0,2.0,2.0,190.0,7105.263157894737
7,12,Abbotsford,750000.0,2.0,2.0,1.0,94.0,7978.723404255319
8,15,Abbotsford,1310000.0,2.0,1.0,2.0,97.0,13505.154639175258
9,16,Abbotsford,1200000.0,3.0,2.0,1.0,110.0,10909.09090909091
10,17,Abbotsford,1176500.0,2.0,1.0,1.0,105.0,11204.761904761905
11,19,Abbotsford,890000.0,2.0,1.0,1.0,73.0,12191.780821917808
12,20,Abbotsford,1330000.0,4.0,2.0,2.0,135.0,9851.851851851852
13,23,Abbotsford,500000.0,2.0,1.0,1.0,60.0,8333.333333333334
14,24,Abbotsford,1100000.0,2.0,2.0,1.0,135.0,8148.148148148148
15,25,Abbotsford,1315000.0,2.0,1.0,0.0,85.0,15470.588235294117
16,27,Abbotsford,1447500.0,3.0,3.0,1.0,174.0,8318.965517241379
17,28,Abbotsford,457000.0,1.0,1.0,1.0,50.0,9140.0
18,29,Abbotsford,1135000.0,2.0,2.0,2.0,128.0,8867.1875
19,32,Abbotsford,1290000.0,3.0,1.0,1.0,124.0,10403.225806451614
20,33,Abbotsford,470000.0,1.0,1.0,1.0,50.0,9400.0
21,34,Abbotsford,1180000.0,2.0,1.0,0.0,91.0,12967.032967032967
22,35,Abbotsford,1195000.0,3.0,2.0,1.0,128.0,9335.9375
23,36,Abbotsford,1012500.0,2.0,1.0,0.0,82.0,12347.560975609756
24,37,Abbotsford,1030000.0,2.0,1.0,1.0,81.0,12716.04938271605
25,8549,Abbotsford,1000000.0,3.0,1.0,0.0,98.0,10204.081632653062
26,8550,Abbotsford,870000.0,2.0,2.0,1.0,86.0,10116.279069767443
27,8551,Abbotsford,1050000.0,2.0,1.0,0.0,128.0,8203.125
28,8552,Abbotsford,1242000.0,2.0,1.0,1.0,98.0,12673.469387755102
29,8553,Abbotsford,1165000.0,3.0,2.0,0.0,114.0,10219.298245614034
30,9390,Abbotsford,480000.0,2.0,1.0,1.0,64.0,7500.0
31,9391,Abbotsford,750000.0,2.0,1.0,1.0,69.0,10869.565217391304
32,9764,Abbotsford,855000.0,3.0,2.0,1.0,116.0,7370.689655172414
33,10093,Abbotsford,505000.0,2.0,1.0,1.0,38.0,13289.473684210527
34,10094,Abbotsford,1402500.0,3.0,1.0,1.0,101.0,13886.138613861385
35,10876,Abbotsford,1635000.0,3.0,1.0,0.0,130.0,12576.923076923076
36,11556,Abbotsford,1190000.0,2.0,2.0,1.0,175.0,6800.0
37,6726,Aberfeldie,380000.0,1.0,1.0,1.0,39.0,9743.589743589744
38,6727,Aberfeldie,1646000.0,4.0,3.0,2.0,157.0,10484.07643312102
39,6729,Aberfeldie,470000.0,2.0,1.0,1.0,71.0,6619.718309859155
40,6731,Aberfeldie,1346000.0,2.0,2.0,2.0,204.0,6598.0392156862745
41,6733,Aberfeldie,935000.0,3.0,2.0,2.0,149.0,6275.167785234899
